trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-9.3132589010024,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,1,-19.38053034131871,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-78.16032049137876,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-97.02615919235349,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-53.98547495345886,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,2,-92.11866173164957,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 1}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-158.92470128593777,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-72.43880134891641,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-44.04407710168818,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-94.92718069773781,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-125.28704839549363,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-79.29762208207414,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,13,-7.16277051155237,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,4,-17.270790180320915,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",35,0,-87.48955496543911,"{0: 20, 1: 8, 2: 7, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,-77.54109921425298,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,16,5.947121495706557,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,19,-23.64583174966256,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-41.04650907229883,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-181.73631958758824,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,4,-146.00279812665343,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 2}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-50.82045145041344,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-56.04764065720832,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,0,-67.76494294367161,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,1,-33.454685976169976,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-94.14992764457519,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,12,-5.81096120733813,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,0,-47.616012468593595,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,0,-72.03320072668906,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,3,-96.1359615590455,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 2}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-41.32347655042742,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,1,-118.50935363441235,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 3}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,9,-87.2774524612094,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 2}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",30,0,-140.57246469463823,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,1,-15.190823778793758,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,-21.913321897746712,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,0,-93.09588699832194,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",1
